area,perimeter,height,width,r_value,g_value,b_value,index,label
212.0,10.59411249,251,142,204,156,21,11,1
219.5,11.65685415,251,142,207,155,48,13,1
221.5,72.75289993,251,319,215,158,39,12,1
252.5,102.6676187,251,319,207,164,90,12,1
214.0,314.0605458,251,319,220,153,51,13,1
229.0,7.511269784,251,319,208,161,88,12,1
232.0,14.12548332,251,319,213,164,70,12,1
206.5,184.0057115,251,319,212,165,107,11,1
229.0,35.43919163,251,319,200,150,110,13,1
243.0,539.3641465,251,319,219,125,49,13,1
265.5,25.65685415,251,319,217,159,95,12,1
236.0,13.98822498,251,320,214,143,61,14,1
242.5,46.15878744,251,320,225,167,93,12,1
215.0,334.9188277,251,320,200,172,94,13,1
220.5,15.06274166,251,320,174,95,76,13,1
218.0,23.89949477,251,320,181,155,91,12,1
237.5,311.2820758,251,320,191,166,71,12,1
210.0,336.8487719,251,320,218,165,72,11,1
237.5,0.0,251,320,183,174,40,12,1
449.5,19.45929267,251,320,212,161,20,12,1
184.5,204.3502873,251,320,203,172,119,13,1
190.0,195.2792187,251,320,214,164,109,12,1
194.0,334.4321182,251,320,201,162,117,11,1
197.5,268.9791302,251,320,177,91,65,11,1
276.5,5.6,251,320,203,133,94,14,1
240.0,407.788883,251,320,217,152,60,13,1
252.0,14.33969686,277,320,208,160,66,13,1
216.0,528.2790414,277,320,212,151,55,13,1
189.0,196.7718174,277,331,220,170,109,12,1
225.5,2.0,277,331,216,164,90,12,1
234.5,242.7175749,277,331,160,99,72,13,1
199.5,36.11858535,277,331,181,174,112,11,1
270.0,20.98233747,277,331,212,156,80,13,1
248.0,7.656854153,277,331,202,162,88,14,1
240.5,169.8469248,277,331,208,154,69,13,1
216.5,163.0233755,277,331,218,165,96,12,1
202.5,10.82842708,277,331,225,168,145,12,1
195.5,185.2507908,277,331,201,145,109,10,1
219.0,204.1762741,277,331,189,132,82,12,1
214.5,422.9188272,277,331,188,124,59,12,1
222.0,56.36467495,277,331,211,141,27,13,1
230.0,446.6790436,277,331,217,150,58,13,1
223.5,1.697056246,277,331,207,160,76,12,1
243.5,8.8,277,331,207,167,117,12,1
267.5,3.414213538,277,331,190,154,103,13,1
200.0,2.8,277,331,192,186,139,14,1
228.5,4.4,277,331,196,111,62,12,1
223.5,240.3703869,277,331,192,165,111,11,1
217.5,311.0193318,277,331,210,166,107,14,1
228.5,270.7350619,277,331,207,159,103,12,1
233.5,208.474341,277,331,218,156,97,13,1
224.5,260.8111821,277,331,220,147,24,12,1
216.0,250.5340499,277,331,174,95,77,11,1
233.5,56.67939372,277,331,223,153,56,13,1
213.0,53.84406853,277,331,185,154,99,13,1
229.0,49.77888832,277,331,192,175,120,10,1
197.5,3.6,277,331,222,162,91,13,1
215.5,257.4782084,277,331,186,110,58,11,1
911.0,454.8662567,277,331,201,162,106,14,1
195.0,279.282076,277,331,194,165,74,13,1
241.5,521.6059547,277,331,196,161,67,13,1
245.5,341.9232865,277,331,209,165,74,14,1
271.0,0.0,277,331,211,161,94,14,1
227.0,41.09116874,277,331,185,173,120,11,1
202.0,360.7212674,277,331,196,164,135,12,1
229.5,305.4311091,277,331,182,123,98,12,1
186.0,54.4,277,331,194,190,135,10,1
157.5,60.72792184,277,331,194,183,119,10,1
198.5,10.92548332,277,331,206,170,82,13,1
216.0,30.65929267,277,331,208,164,110,12,1
193.0,302.5791294,277,331,188,154,98,13,1
233.5,444.4898067,277,331,204,141,73,13,1
241.5,6.759797907,277,331,202,162,85,12,1
218.5,2.8,277,331,207,161,72,13,1
219.5,24.23919163,277,331,225,136,77,12,1
224.5,405.2467493,277,331,199,159,94,12,1
199.0,20.89705625,277,331,191,176,117,10,1
230.5,4.0,277,331,193,167,112,13,1
190.0,0.0,277,331,161,94,70,12,1
209.0,391.9482666,277,331,221,157,57,12,1
207.5,154.8944422,277,331,208,171,119,11,1
177.5,78.98233747,277,331,191,166,112,12,1
184.5,239.1488576,277,331,181,96,67,11,1
228.5,4.828427076,277,331,202,165,86,12,1
232.5,329.303605,277,331,211,161,77,13,1
232.0,527.3523759,277,331,186,147,97,11,1
215.5,355.0672719,277,331,184,125,104,10,1
198.0,270.0904002,277,331,187,150,90,11,1
222.0,242.7100844,277,331,220,152,70,14,1
208.5,263.6369963,277,331,193,163,107,14,1
191.0,31.33380935,277,331,209,163,76,13,1
194.5,149.4587008,277,333,220,161,74,13,1
232.5,23.17644997,277,333,215,158,82,11,1
213.0,11.2,277,333,215,171,104,11,1
242.0,22.9539104,277,333,208,171,92,12,1
267.0,323.6134461,277,333,191,116,97,12,1
255.0,0.0,277,333,189,159,96,12,1
238.0,580.3054489,277,359,213,178,113,12,1
208.0,300.4369962,277,359,204,180,114,11,1
215.5,378.8599517,277,359,203,183,122,13,1
227.5,336.8016715,277,359,203,176,114,12,1
198.5,221.8233745,277,359,215,168,67,12,1
220.5,2.731370831,277,359,202,176,116,13,1
216.5,226.9116874,277,359,218,154,25,14,1
241.0,33.31370831,277,359,224,162,53,12,1
201.5,3.414213538,277,359,216,154,46,10,1
195.0,88.09991217,277,359,216,160,44,11,1
221.0,2.4,277,359,177,101,81,14,1
222.0,241.8331292,277,359,192,165,120,13,1
223.5,269.6958696,277,359,201,172,126,14,1
248.0,218.1277468,277,359,203,161,113,13,1
212.5,230.1978042,277,359,204,166,61,13,1
217.0,279.7056258,277,359,195,156,115,12,1
243.5,8.194112492,277,359,209,156,109,13,1
208.0,5.091168737,277,359,196,120,62,12,1
227.0,138.4126102,277,359,209,148,58,11,1
208.0,267.605119,277,359,207,128,68,12,1
228.5,6.125483322,277,359,203,166,57,12,1
236.0,5.2,277,359,200,125,64,12,1
224.5,30.9989892,277,359,213,139,73,11,1
229.0,57.94112449,277,359,206,132,66,11,1
199.5,0.0,277,359,197,150,137,11,1
206.0,186.9311954,277,359,170,92,74,10,1
232.0,235.5468376,277,359,194,171,121,11,1
209.5,236.6345593,277,359,212,174,132,11,1
241.0,20.48528123,277,359,212,148,109,12,1
203.5,6.788224983,277,359,209,152,113,12,1
234.0,141.9439807,277,359,209,157,78,12,1
216.5,124.9734181,277,359,218,151,41,12,1
211.5,124.6018453,277,359,222,166,121,13,1
236.0,7.491168737,277,359,233,149,27,11,1
224.5,271.135063,277,359,198,122,62,11,1
231.0,11.58822498,277,359,198,123,62,11,1
247.5,18.82842708,277,359,207,160,35,12,1
